Starting memory monitor at Thu Apr  3 17:46:32 UTC 2025
Elapsed_Time | PID | Name | Heap_Used_MB | Heap_Capacity_MB | RSS_MB
00:07:35 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
00:07:43 | 7923 | GradleWorkerMain | 644.1MB | 1704.0MB | 2144.9MB
00:07:43 | 7108 | KotlinCompileDaemon | 1502.5MB | 2037.0MB | 3086.4MB
00:07:43 | 1924 | GradleDaemon | 2586.1MB | 3476.5MB | 5658.6MB
00:07:43 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
00:07:51 | 7923 | GradleWorkerMain | 312.1MB | 1640.0MB | 2148.2MB
00:07:51 | 7108 | KotlinCompileDaemon | 386.6MB | 2049.0MB | 3111.2MB
00:07:51 | 1924 | GradleDaemon | 2471.6MB | 3476.5MB | 5683.8MB
00:07:51 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
00:07:58 | 7923 | GradleWorkerMain | 508.2MB | 1628.0MB | 2149.3MB
00:07:58 | 7108 | KotlinCompileDaemon | 894.8MB | 2079.5MB | 3049.9MB
00:07:58 | 1924 | GradleDaemon | 3196.3MB | 3476.5MB | 5687.3MB
00:07:58 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
00:08:06 | 7923 | GradleWorkerMain | 680.2MB | 1640.0MB | 2150.8MB
00:08:06 | 7108 | KotlinCompileDaemon | 975.7MB | 2081.0MB | 3047.9MB
00:08:06 | 1924 | GradleDaemon | 3104.8MB | 3612.0MB | 5754.3MB
00:08:06 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
00:08:14 | 7923 | GradleWorkerMain | 696.3MB | 1696.0MB | 2151.9MB
00:08:14 | 7108 | KotlinCompileDaemon | 742.6MB | 1994.5MB | 3081.8MB
00:08:14 | 1924 | GradleDaemon | 3363.3MB | 3612.0MB | 5777.6MB
00:08:14 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
00:08:21 | 7923 | GradleWorkerMain | 316.4MB | 1704.0MB | 2153.0MB
00:08:21 | 7108 | KotlinCompileDaemon | 178.9MB | 1994.5MB | 3094.3MB
00:08:21 | 1924 | GradleDaemon | 2636.0MB | 4083.5MB | 5833.1MB
00:08:21 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
00:08:29 | 7923 | GradleWorkerMain | 244.4MB | 1640.0MB | 2154.2MB
00:08:29 | 7108 | KotlinCompileDaemon | 291.2MB | 1947.0MB | 3099.8MB
00:08:29 | 1924 | GradleDaemon | 2576.5MB | 4083.5MB | 5859.9MB
00:08:29 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
00:08:36 | 7923 | GradleWorkerMain | 448.7MB | 1640.0MB | 2155.3MB
00:08:36 | 7108 | KotlinCompileDaemon | 1242.7MB | 1811.5MB | 3119.1MB
00:08:36 | 1924 | GradleDaemon | 3514.8MB | 4083.5MB | 5865.5MB
00:08:36 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
00:08:44 | 7923 | GradleWorkerMain | 272.7MB | 1632.0MB | 2156.0MB
00:08:44 | 7108 | KotlinCompileDaemon | 1019.5MB | 1359.5MB | 3221.0MB
00:08:44 | 1924 | GradleDaemon | 3431.5MB | 3985.5MB | 5875.7MB
00:08:44 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
00:08:51 | 7923 | GradleWorkerMain | 1152.7MB | 1640.0MB | 2156.9MB
00:08:51 | 7108 | KotlinCompileDaemon | 226.9MB | 1347.5MB | 3308.2MB
00:08:51 | 1924 | GradleDaemon | 3349.6MB | 3985.5MB | 5876.3MB
00:08:51 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
00:08:59 | 7923 | GradleWorkerMain | 328.8MB | 1684.0MB | 2158.2MB
00:08:59 | 7108 | KotlinCompileDaemon | 659.5MB | 1426.5MB | 3252.1MB
00:08:59 | 1924 | GradleDaemon | 3403.1MB | 3969.0MB | 5877.6MB
00:08:59 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
00:09:06 | 7923 | GradleWorkerMain | 272.9MB | 1640.0MB | 2159.5MB
00:09:06 | 7108 | KotlinCompileDaemon | 1318.3MB | 1458.5MB | 3257.7MB
00:09:06 | 1924 | GradleDaemon | 2414.5MB | 3982.5MB | 5884.8MB
00:09:06 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
00:09:14 | 7923 | GradleWorkerMain | 460.9MB | 1640.0MB | 2160.3MB
00:09:14 | 7108 | KotlinCompileDaemon | 1113.3MB | 1589.0MB | 3236.3MB
00:09:14 | 1924 | GradleDaemon | 3467.1MB | 3982.5MB | 5926.1MB
00:09:14 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
00:09:21 | 7923 | GradleWorkerMain | 285.0MB | 1632.0MB | 2160.9MB
00:09:21 | 7108 | KotlinCompileDaemon | 1578.9MB | 1723.5MB | 3258.0MB
00:09:21 | 1924 | GradleDaemon | 3374.7MB | 3982.5MB | 5926.7MB
00:09:21 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
00:09:28 | 7923 | GradleWorkerMain | 625.1MB | 1712.0MB | 2161.7MB
00:09:28 | 7108 | KotlinCompileDaemon | 894.3MB | 2022.5MB | 3246.9MB
00:09:28 | 1924 | GradleDaemon | 2406.7MB | 4019.5MB | 5927.3MB
00:09:28 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
00:09:35 | 7923 | GradleWorkerMain | 525.1MB | 1684.0MB | 2162.4MB
00:09:35 | 7108 | KotlinCompileDaemon | 1257.6MB | 2138.5MB | 3270.8MB
00:09:35 | 1924 | GradleDaemon | 2381.8MB | 4077.5MB | 5949.3MB
00:09:35 | 2919 | KotlinCompileDaemon | 86.9MB | 419.5MB | 594.5MB
